"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","API-20 Validate Response Is JSON","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1392","HOME-03 Verify delete account button visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","1469","CHECKOUT-08 Verify home page navigation","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","60100","LOGIN-04 invalid email formatrahul gmail@gmail.com","firefox","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","745","SHIPPING-18 Verify page title contains automation","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1423","CART-06 Verify page contains cart text","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","749","SHIPPING-09 Verify body visible","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","860","SEARCH-06 Verify Price VIsible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1516","HOME-14 Verify Category visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","62861","LOGIN-04 invalid email formatrahul#gmail.com","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1455","HOME-01 Verify home page visible successfully","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","62704","AUTH-01 Signup with valid data","chromium","2026-06-03","broken","2026-06-03","Signup Tests","Authentication/signup.spec.js","",""
"","1393","SHIPPING-08 Verify review order section locator created","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","20","API-02 GET Posts API","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","882","SEARCH-15 Verify Add To Cart","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","591","CART-06 Verify page contains cart text","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","32","API-09 Validate Response Body","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","872","HOME-01 Verify home page visible successfully","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","731","SHIPPING-11 Verify products button visible","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","739","HOME-14 Verify Category visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","602","HOME-10 Verify Contact Us button visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","895","SEARCH-02 Verify Search Input Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","29","API-16 Validate Content Type","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","654","SHIPPING-13 Verify products button enabled","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","62836","AUTH-02 Mandatory fields validation","chromium","2026-06-03","broken","2026-06-03","Signup Tests","Authentication/signup.spec.js","",""
"","1391","LOGIN-02 invalid password","firefox","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","411","SEARCH-14 Verify product details page opens","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","723","SHIPPING-15 Verify products page body visible","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","617","SEARCH-16 Verify Continue Shopping Visible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","654","SHIPPING-07 Verify place order button locator created","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1403","CART-05 Verify body visible on cart page","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1400","CHECKOUT-13 Verify current url contains automationexercise","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","589","CHECKOUT-16 Verify logout button visible","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","29","API-14 Validate Response Title","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","22","API-09 Validate Response Body","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","60108","LOGIN-04 invalid email formatrahulgmail.com","firefox","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1436","HOME-07 Verify cart button visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","743","SEARCH-17 Verify View Cart Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","14","API-14 Validate Response Title","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","439","SHIPPING-01 Verify cart page opens","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1394","HOME-10 Verify Contact Us button visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","876","HOME-10 Verify Contact Us button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","592","CART-15 Verify page loaded successfully","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1478","CART-14 Verify products button enabled","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","482","API-01 Validate Post Contains Title","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","578","CART-14 Verify products button enabled","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1446","SEARCH-16 Verify Continue Shopping Visible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","62795","LOGIN-04 invalid email formatrahul@gmail","chromium","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1529","CART-10 Verify current url contains automation exercise","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","604","CART-03 Verify products button visible","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1397","CART-09 Verify page title contains automation","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","60106","LOGIN-04 invalid email formatrahul@.com","firefox","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","597","HOME-06 Verify Product button visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","588","HOME-05 Verify API list button visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","597","CART-02 Verify cart icon visible","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1419","CHECKOUT-04 Verify products page opens","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","870","CHECKOUT-14 Verify home button visible","webkit","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","587","CHECKOUT-02 Verify cart page opens","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","733","CART-04 Verify cart page opens","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","890","HOME-06 Verify Product button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","599","CHECKOUT-14 Verify home button visible","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","1397","LOGIN-08 verify Sucessfull logout","firefox","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","60113","AUTH-01 Signup with valid data","firefox","2026-06-03","broken","2026-06-03","Signup Tests","Authentication/signup.spec.js","",""
"","246","API-07 Validate Post Contains UserId","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","731","CHECKOUT-01 Verify products button visible","webkit","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","619","SEARCH-08 Verify Add to Cart VIsible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","860","SEARCH-13 Verify first product visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","18","API-04 Validate Post ID","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","16","API-10 Validate Total Posts Returned","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","839","CART-13 Verify cart button enabled","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","855","HOME-02 Verify logout button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","881","HOME-05 Verify API list button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","876","SEARCH-03 Verify Search Button Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","420","SHIPPING-18 Verify page title contains automation","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","412","SEARCH-09 Verify Brands Section Visible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","590","CHECKOUT-04 Verify products page opens","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","15","API-15 Validate Status Code 200","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","16","API-18 Validate Post Contains Body","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1416","SEARCH-07 Verify Text VIsible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","62791","LOGIN-04 invalid email formatrahul@.com","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","868","SEARCH-10 Verify Women Category Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","26","API-03 Validate Response Header Exists","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","740","CART-07 Verify product page navigation","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1433","SEARCH-15 Verify Add To Cart","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","588","CHECKOUT-06 Verify cart button enabled","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","1416","HOME-12 Verify Left Arrow visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","1386","CART-08 Verify cart button navigation","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1391","HOME-15 Verify Feature Items visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","869","CART-06 Verify page contains cart text","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","604","SHIPPING-08 Verify review order section locator created","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1392","HOME-08 Verify Test Cases button visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","1394","CHECKOUT-14 Verify home button visible","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","1439","HOME-11 Verify Logo visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","31","API-10 Validate Total Posts Returned","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","570","CHECKOUT-01 Verify products button visible","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","593","SHIPPING-16 Verify cart page url contains view cart","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","62839","AUTH-01 Signup with valid data","webkit","2026-06-03","broken","2026-06-03","Signup Tests","Authentication/signup.spec.js","",""
"","858","CART-12 Verify products url","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","743","SHIPPING-04 Verify delivery address section locator created","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1413","SEARCH-01 Verify Products Page Opens","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","19","API-19 DELETE Post API","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1409","CHECKOUT-15 Verify contact button visible","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","574","CART-08 Verify cart button navigation","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","414","SHIPPING-17 Verify current url contains automationexercise","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","583","CHECKOUT-12 Verify body visible on products page","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","63728","LOGIN-03 empty credentials","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","441","HOME-15 Verify Feature Items visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","13","API-08 GET Single Post API","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","429","HOME-16 Verify Brand visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","26","API-15 Validate Status Code 200","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1409","SHIPPING-20 Verify subscription section visible","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","449","SHIPPING-12 Verify cart button visible","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","413","HOME-13 Verify Right Arrow visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","62778","LOGIN-04 invalid email formatrahul@.com","chromium","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1518","HOME-16 Verify Brand visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","605","CART-07 Verify product page navigation","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1411","SHIPPING-11 Verify products button visible","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","885","HOME-12 Verify Left Arrow visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","424","HOME-12 Verify Left Arrow visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","863","CHECKOUT-03 Verify footer visible","webkit","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","63051","LOGIN-04 invalid email formatrahulgmail.com","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","417","SEARCH-07 Verify Text VIsible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","732","SEARCH-11 Verify Kids Category Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","872","CART-02 Verify cart icon visible","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","752","SEARCH-16 Verify Continue Shopping Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","584","SEARCH-12 Verify Men Category Visible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1426","SHIPPING-04 Verify delivery address section locator created","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1512","CART-03 Verify products button visible","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","885","SHIPPING-02 Verify products page opens","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","710","LOGIN-01 valid Login","webkit","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1368","HOME-09 Verify Video Tutorials button visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","1085","SHIPPING-16 Verify cart page url contains view cart","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1377","CHECKOUT-05 Verify contact page navigation","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","62845","LOGIN-04 invalid email formatrahul gmail@gmail.com","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","613","HOME-03 Verify delete account button visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","896","SHIPPING-10 Verify shipping flow navigation","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","725","SHIPPING-13 Verify products button enabled","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","431","SHIPPING-05 Verify billing address section locator created","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","62722","LOGIN-04 invalid email formatrahul@@gmail.com","webkit","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","876","SHIPPING-03 Verify cart page body visible","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","601","SEARCH-02 Verify Search Input Visible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1417","SEARCH-05 Verify Image VIsible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","363","API-01 Validate Post Contains Title","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","62516","LOGIN-04 invalid email format@gmail.com","chromium","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1413","SEARCH-09 Verify Brands Section Visible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","576","CHECKOUT-08 Verify home page navigation","chromium","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","26","API-12 Validate API Response Time","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1404","SEARCH-06 Verify Price VIsible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","24","API-11 PUT Update Post API","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","733","CHECKOUT-15 Verify contact button visible","webkit","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","723","SHIPPING-06 Verify comment box locator created","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","60094","LOGIN-03 empty credentials","firefox","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","5965","LOGIN-06 login password field visible","chromium","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","621","CART-01 Verify products page opens","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","17","API-08 GET Single Post API","chromium","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","1501","CHECKOUT-09 Verify products button enabled","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","1422","SEARCH-02 Verify Search Input Visible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","857","CART-14 Verify products button enabled","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","572","CART-05 Verify body visible on cart page","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1425","SEARCH-17 Verify View Cart Visible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1391","CHECKOUT-06 Verify cart button enabled","firefox","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","868","CHECKOUT-13 Verify current url contains automationexercise","webkit","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","853","SEARCH-09 Verify Brands Section Visible","webkit","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","898","CHECKOUT-16 Verify logout button visible","webkit","2026-06-03","failed","2026-06-03","Checkout And Order Module","checkout/checkout.spec.js","",""
"","585","HOME-08 Verify Test Cases button visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","46","API-06 POST Create Post API","webkit","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","60107","AUTH-02 Mandatory fields validation","firefox","2026-06-03","broken","2026-06-03","Signup Tests","Authentication/signup.spec.js","",""
"","734","HOME-08 Verify Test Cases button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","60123","LOGIN-04 invalid email formatrahul#gmail.com","firefox","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","708","SHIPPING-05 Verify billing address section locator created","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1408","HOME-06 Verify Product button visible","firefox","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","571","CART-12 Verify products url","chromium","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","611","SEARCH-03 Verify Search Button Visible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","418","SHIPPING-20 Verify subscription section visible","chromium","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","569","SEARCH-11 Verify Kids Category Visible","chromium","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","1493","SEARCH-11 Verify Kids Category Visible","firefox","2026-06-03","failed","2026-06-03","Product Module Tests","search/search.spec.js","",""
"","27","API-18 Validate Post Contains Body","firefox","2026-06-03","passed","2026-06-03","API Testing Module","API/api.spec.js","",""
"","734","CART-09 Verify page title contains automation","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","1453","SHIPPING-13 Verify products button enabled","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1463","CART-02 Verify cart icon visible","firefox","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
"","6220","LOGIN-05 login email field visible","webkit","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","1413","LOGIN-07 verify logout button visible","firefox","2026-06-03","failed","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","743","HOME-15 Verify Feature Items visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","60102","LOGIN-04 invalid email formatrahul.com","firefox","2026-06-03","broken","2026-06-03","Login Tests","Authentication/login.spec.js","",""
"","898","HOME-07 Verify cart button visible","webkit","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","415","HOME-11 Verify Logo visible","chromium","2026-06-03","failed","2026-06-03","Home Page Tests","home/home.spec.js","",""
"","888","SHIPPING-17 Verify current url contains automationexercise","webkit","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","1418","SHIPPING-17 Verify current url contains automationexercise","firefox","2026-06-03","failed","2026-06-03","Shipping Address Module","shipping/shipping.spec.js","",""
"","852","CART-08 Verify cart button navigation","webkit","2026-06-03","failed","2026-06-03","Cart Module Tests","cart managment/cart.spec.js","",""
